Cód. Item;Quantidade;Data Prevista
658;7140;21.04.25
482;2496;25.05.25
656;1500;25.05.25
482;2496;20.06.25
483;3120;20.06.25
658;7140;20.06.25
656;7140;20.06.25
762;3000;30.05.25
520;1107;05.06.25
546;2000;05.06.25
567;5100;23.05.25
784;401;20.05.25
483;3120;27.07.25
483;3120;12.07.25
656;7140;12.07.25
906;2656;20.07.25
907;2768;20.07.25
908;2768;20.07.25
