Cód. Item;Descrição;Espessura(mm);Largura(mm);Grupo de Item
151;CHAPA ALUM FOR 1100 H14 CGALSOSFP ESP1,5 LARG1000 COMP3000 - ACABFOSCO/FOSCO LADTB;1500;1000;DTB CGA 1100 1,1-3,0
152;CHAPA ALUM FOR 1100 H14 SGALSOSFP ESP1,5 LARG1000 COMP3000 - ACABFOSCO/FOSCO LADTB;1500;1000;DTB SGA 1100 1,1-3,0
153;CHAPA ALUM FOR 1100 H14 CGALSOSFP ESP1,5 LARG1250 COMP2000 - ACABFOSCO/FOSCO LADTB;1500;1250;DTB CGA 1100 1,1-3,0
154;CHAPA ALUM FOR 1100 H14 SGALSOSFP ESP1,5 LARG1250 COMP2000 - ACABFOSCO/FOSCO LADTB;1500;1250;DTB SGA 1100 1,1-3,0
155;CHAPA ALUM FOR 1100 H14 CGALSOSFP ESP1,5 LARG1250 COMP3000 - ACABFOSCO/FOSCO LADTB;1500;1250;DTB CGA 1100 1,1-3,0
156;CHAPA ALUM FOR 1100 H14 SGALSOSFP ESP1,5 LARG1250 COMP3000 - ACABFOSCO/FOSCO LADTB;1500;1250;DTB SGA 1100 1,1-3,0
157;CHAPA ALUM FOR 1100 H14 CGALSOSFP ESP2,0 LARG1000 COMP2000 - ACABFOSCO/FOSCO LADTB;2000;1000;DTB CGA 1100 1,1-3,0
158;CHAPA ALUM FOR 1100 H14 SGALSOSFP ESP2,0 LARG1000 COMP2000 - ACABFOSCO/FOSCO LADTB;2000;1000;DTB SGA 1100 1,1-3,0
159;CHAPA ALUM FOR 5083 O CFPPNLCHLS ESP19 LARG1100 COMP3000 - FOSCO/FOSCO LATRP;19000;1100;TRANSPORTATION >0,2
160;CHAPA ALUM FOR 5052 H314 SGALAVSFB ESP2,7 LARG1000 COMP2500 - FOSCO/FOSCO LATRP;2700;1000;TRANSPORTATION >0,2
161;CHAPA ALUM FOR 5052 H34 SGALS0SFB ESP1,5 LARG1000 COMP2000 - BRILHANTE/FOSCO LADTB;1500;1000;TRANSPORTATION >0,2
162;CHAPA ALUM FOR 5052 H34 SGALS0SFB ESP1,5 LARG1000 COMP3000 - BRILHANTE/FOSCO LADTB;1500;1000;TRANSPORTATION >0,2
163;CHAPA ALUM FOR 5052 H34 SGALS0SFB ESP1,5 LARG1250 COMP2000 - BRILHANTE/FOSCO LADTB;1500;1250;TRANSPORTATION >0,2
164;CHAPA ALUM FOR 5052 H34 SGALS0SFB ESP1,5 LARG1250 COMP3000 - BRILHANTE/FOSCO LADTB;1500;1250;TRANSPORTATION >0,2
165;CHAPA ALUM FOR 5052 H34 SGALS0SFB ESP2,0 LARG1000 COMP2000 - BRILHANTE/FOSCO LADTB;2000;1000;TRANSPORTATION >0,2
166;CHAPA ALUM FOR 5052 H34 SGALS0SFB ESP2,0 LARG1000 COMP3000 - BRILHANTE/FOSCO LADTB;2000;1000;TRANSPORTATION >0,2
167;CHAPA ALUM FOR 5052 H34 SGALS0SFB ESP2,0 LARG1250 COMP3000 - BRILHANTE/FOSCO LADTB;2000;1250;TRANSPORTATION >0,2
168;CHAPA ALUM FOR 1100 H14 SGALSOSFP ESP0,5 LARG1000 COMP2000 - ACABFOSCO/FOSCO LADTB;500;1000;DTB SGA 1100 0,4-1,0
169;CHAPA ALUM FOR 1100 H14 SGALSOSFP ESP0,3 LARG1000 COMP2000 - ACABFOSCO/FOSCO LADTB;300;1000;DTB SGA 1100 0,4-1,0
170;CHAPA ALUM FOR 1100 H14 SGALSOSFP ESP0,3 LARG1000 COMP3000 - ACABFOSCO/FOSCO LADTB;300;1000;DTB SGA 1100 0,4-1,0
171;CHAPA ALUM FOR 1100 H14 SGALSOSFP ESP1,3 LARG1000 COMP2500 - ACABFOSCO/FOSCO LADTB;1300;1000;DTB SGA 1100 1,1-3,0
172;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG270 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 28;28;270;FOODCONTAINER 28
173;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG290 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 28;28;290;FOODCONTAINER 28
174;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG505 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 28;28;505;FOODCONTAINER 28
175;CHAPA ALUM FOR CIRCULAR 5052 F CTE-LSO-CFP-PLN-EXTLG ESP6,35 D2481 BRILHANTE/BRILHANTE LATRP;6350;na;TRANSPORTATION >0,2
176;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG930 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;930;INATIVOS CONVERTER 8
177;ALUMINIO-FOLHA BOB-3003H24 ESP0,048 LARG220 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;48;220;FOODCONTAINER 40-55
178;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG960 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;960;INATIVOS CONVERTER 8
179;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG1100 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;1100;INATIVOS CONVERTER 8
180;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG1220 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;1220;INATIVOS CONVERTER 8
181;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG990 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;990;INATIVOS CONVERTER 8
182;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG280 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 30;30;280;FOODCONTAINER 30
183;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG310 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 30;30;310;FOODCONTAINER 30
184;ALUMINIO-FOLHA BOB 8011 H18 ESP0,020 LARG220 DI152 DEMÁX540 BRI/FOS LIDROUNDPLATES 20;20;220;LIDROUNDPLATES 20
185;ALUMINIO-FOLHA BOB-3003H24 ESP0,050 LARG364 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;50;364;FOODCONTAINER 40-55
186;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,007 LARG1105 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;7;1105;CONVERTER 7
187;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG280 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 28;28;280;FOODCONTAINER 28
188;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG310 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 28;28;310;FOODCONTAINER 28
189;ALUMINIO-FOLHA BOB 8011 H18 ESP0,018 LARG220 DI152 DEMÁX540 BRI/FOS LIDROUNDPLATES 18;18;220;LIDROUNDPLATES 18
190;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,007 LARG950 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;7;950;CONVERTER 7
191;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG990 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;990;INATIVOS CONVERTER 8
192;ALUMINIO-FOLHA BOB-3003H24 ESP0,045 LARG364 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;45;364;FOODCONTAINER 40-55
193;ALUMINIO-FOLHA BOB-3003H24 ESP0,048 LARG265 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;48;265;FOODCONTAINER 40-55
194;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG686 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 28;28;686;FOODCONTAINER 28
195;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG860 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;860;INATIVOS CONVERTER 8
196;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG1250 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;1250;INATIVOS CONVERTER 8
197;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG1260 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;1260;INATIVOS CONVERTER 8
198;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,00635 LARG810 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;6,35;810;CONVERTER 6,30-6,35
199;CHAPA ALUM BOB 1060 H14 CGALSOSFP ESP0,5 LARG600 DI508 DEMÁX1100 ACABFOSCO/FOSCO LADTB;500;600;DTB CGA 1060 0,4-1,0
200;CHAPA ALUM BOB 5657 H24 CGALSOSFP ESP0,5 LARG600 DI505 DEMÁX1100 ACABBRILHANTE/FOSCO LACTC;500;600;CMT CGA 5657 0,4-1,0
201;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,7 LARG210 DI505 DEMÁX1100 ACABBRILHANTE/FOSCO LADTB;7;210;DTB SGA 1100 0,4-1,0
202;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,7 LARG110 DI406 DEMÁX1200 ACABFOSCO/FOSCO LADTB;700;110;DTB SGA 1100 0,4-1,0
203;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,7 LARG130 DI406 DEMÁX1200 ACABFOSCO/FOSCO LADTB;700;130;DTB SGA 1100 0,4-1,0
204;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,7 LARG23 DI406 DEMÁX1200 ACABFOSCO/FOSCO LADTB;700;23;DTB SGA 1100 0,4-1,0
205;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,7 LARG136 DI406 DEMÁX1200 ACABFOSCO/FOSCO LADTB;700;136;DTB SGA 1100 0,4-1,0
206;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,7 LARG131 DI406 DEMÁX1200 ACABFOSCO/FOSCO LADTB;700;131;DTB SGA 1100 0,4-1,0
207;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG267 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 28;28;267;FOODCONTAINER 28
208;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG288 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 28;28;288;FOODCONTAINER 28
209;SUCATA ALUM CHAPA LÂMINA;NA;NA;SUCATA ALUMINIO
210;SUCATA ALUM FOLHA;NA;NA;SUCATA ALUMINIO
211;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,5 LARG38 DI406 DEMÁX900 ACABFOSCO/FOSCO LADTB;500;38;DTB SGA 1100 0,4-1,0
212;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,5 LARG27 DI406 DEMÁX600 ACABFOSCO/FOSCO LADTB;500;27;DTB SGA 1100 0,4-1,0
213;CHAPA ALUM BOB 1060 H14 CGALSOSFP ESP0,5 LARG105 DI508 DEMÁX1100 ACABFOSCO/FOSCO LADTB;500;105;DTB CGA 1060 0,4-1,0
214;CHAPA ALUM BOB 1060 H14 CGALSOSFP ESP0,5 LARG58 DI508 DEMÁX1100 ACABFOSCO/FOSCO LADTB;500;58;DTB CGA 1060 0,4-1,0
215;CHAPA ALUM BOB 1060 H14 CGALSOSFP ESP0,5 LARG34 DI508 DEMÁX1100 ACABFOSCO/FOSCO LADTB;500;34;DTB CGA 1060 0,4-1,0
216;CHAPA ALUM BOB 5657 H24 CGALSOSFP ESP0,5 LARG90 DI406 DEMÁX1200 ACABFOSCO/FOSCO LACTC;500;90;CMT CGA 5657 0,4-1,0
217;CHAPA ALUM FOR 1100 H14 SGALSOSFP ESP0,7 LARG1000 COMP360 - ACABFOSCO/FOSCO LADTB;700;1000;DTB SGA 1100 0,4-1,0
218;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG460 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;460;INATIVOS CONVERTER 8
219;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG1060 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;1060;INATIVOS CONVERTER 8
220;FOLHA ALUM BOB 8011 H18 SGALSOPLN ESP0,020 LARG210 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LATMP;20;210;LIDROUNDPLATES 20
221;ALUMINIO-FOLHA BOB 8011 H18 ESP0,020 LARG105 DI152 DEMÁX540 BRI/FOS LIDROUNDPLATES 20;20;105;LIDROUNDPLATES 20
222;FOLHA ALUM BOB 8011 O SGALSOPLN ESP0,030 LARG285 DI152 DEMÁX450 ACABBRILHANTE/FOSCO LACVT;30;285;CONVERTER 30-40
223;FOLHA ALUM BOB 8011 O SGALSOPLN ESP0,030 LARG319 DI152 DEMÁX450 ACABBRILHANTE/FOSCO LACVT;30;319;CONVERTER 30-40
224;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,4 LARG700 DI406 DEMÁX1200 ACABFOSCO/FOSCO LADTB;400;700;DTB SGA 1100 0,4-1,0
225;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,5 LARG19 DI406 DEMÁX1200 ACABFOSCO/FOSCO LADTB;500;19;DTB SGA 1100 0,4-1,0
226;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG310 DI76,2 DEMÁX540 BRI/BRI FOODCONTAINER 30;30;310;FOODCONTAINER 30
227;ALUMINIO-FOLHA BOB 8011 H18 ESP0,020 LARG160 DI152 DEMÁX540 BRI/FOS LIDROUNDPLATES 20;20;160;LIDROUNDPLATES 20
228;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,007 LARG1220 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;7;1220;CONVERTER 7
229;CHAPA ALUM FOR 1100 H14 SGALSOSFP ESP0,7 LARG447 COMP196 - ACABFOSCO/FOSCO LADTB;700;447;DTB SGA 1100 0,4-1,0
230;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,7 LARG47,5 DI406 DEMÁX600 ACABFOSCO/FOSCO LADTB;700;47,5;DTB SGA 1100 0,4-1,0
231;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG560 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;560;INATIVOS CONVERTER 8
232;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG720 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;720;INATIVOS CONVERTER 8
233;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,5 LARG32 DI406 DEMÁX900 ACABFOSCO/FOSCO LADTB;500;32;DTB SGA 1100 0,4-1,0
234;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,007 LARG1105 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;7;1105;CONVERTER 7
235;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG660 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;660;INATIVOS CONVERTER 8
236;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG860 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;860;INATIVOS CONVERTER 8
237;ALUMINIO-FOLHA BOB-3003H24 ESP0,047 LARG205 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;47;205;FOODCONTAINER 40-55
238;ALUMINIO-FOLHA BOB-3003H24 ESP0,046 LARG335 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;46;335;FOODCONTAINER 40-55
239;ALUMINIO-FOLHA BOB-3003H24 ESP0,047 LARG220 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;47;220;FOODCONTAINER 40-55
240;ALUMINIO-FOLHA BOB-3003H24 ESP0,046 LARG205 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;46;205;FOODCONTAINER 40-55
241;ALUMINIO-FOLHA BOB-3003H24 ESP0,046 LARG220 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;46;220;FOODCONTAINER 40-55
242;FOLHA ALUM BOB 8011 H18 SGALSOPLN ESP0,020 LARG200 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LATMP;20;200;LIDROUNDPLATES 20
243;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG480 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;480;INATIVOS CONVERTER 8
244;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG510 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;510;INATIVOS CONVERTER 8
245;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG620 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;620;INATIVOS CONVERTER 8
246;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG650 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;650;INATIVOS CONVERTER 8
247;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG810 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;810;INATIVOS CONVERTER 8
248;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG930 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;930;INATIVOS CONVERTER 8
249;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG680 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;680;INATIVOS CONVERTER 8
250;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG820 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;820;INATIVOS CONVERTER 8
251;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG990 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;990;INATIVOS CONVERTER 8
252;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,035 LARG245 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 35;35;245;FOODCONTAINER 35
253;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG508 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 28;28;508;FOODCONTAINER 28
254;ALUMINIO-FOLHA BOB-3003H24 ESP0,046 LARG265 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;46;265;FOODCONTAINER 40-55
255;CHAPA ALUM FOR 5083 O CFPPNLCHLS ESP16 LARG1500 COMP2000 - FOSCO/FOSCO LATRP;16000;1500;TRANSPORTATION >0,2
256;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,7 LARG81,5 DI406 DEMÁX1200 ACABFOSCO/FOSCO LADTB;700;1500;DTB SGA 1100 0,4-1,0
257;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,7 LARG64 DI406 DEMÁX1200 ACABFOSCO/FOSCO LADTB;700;64;DTB SGA 1100 0,4-1,0
258;CHAPA ALUM BOB 1100 H14 SGALSOSFP ESP0,7 LARG18 DI406 DEMÁX1200 ACABFOSCO/FOSCO LADTB;700;18;DTB SGA 1100 0,4-1,0
259;FOLHA ALUM BOB 1235 O SGALSOPLN ESP0,008 LARG490 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;490;INATIVOS CONVERTER 8
260;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG530 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;530;INATIVOS CONVERTER 8
261;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG640 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;640;INATIVOS CONVERTER 8
262;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG850 DI152,4 DEMÁX550 ACABBRILHANTE/FOSCO LACVT;8;850;CONVERTER 8
263;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG550 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;550;INATIVOS CONVERTER 8
264;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG580 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;580;INATIVOS CONVERTER 8
265;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG600 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;600;INATIVOS CONVERTER 8
266;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG288 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 30;30;288;FOODCONTAINER 30
267;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG313 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 30;30;313;FOODCONTAINER 30
268;ALUMINIO-FOLHA BOB-3003H24 ESP0,040 LARG364 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;40;364;FOODCONTAINER 40-55
269;FOLHA ALUM BOB 8011 H18 SGALSOPLN ESP0,020 LARG420 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;20;420;CONVERTER 20-25
270;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG245 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 28;28;245;FOODCONTAINER 28
271;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG285 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 28;28;285;FOODCONTAINER 28
272;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG315 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 28;28;315;FOODCONTAINER 28
273;FOLHA ALUM BOB 8011 H18 SGALSOPLN ESP0,018 LARG210 DI76,2 DEMÁX450 ACABBRILHANTE/FOSCO LATMP;18;210;LIDROUNDPLATES 18
274;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,007 LARG1220 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;7;1220;CONVERTER 7
275;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG740 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;740;INATIVOS CONVERTER 8
276;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG1100 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;1100;INATIVOS CONVERTER 8
277;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG450 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;450;INATIVOS CONVERTER 8
278;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG1220 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;1220;INATIVOS CONVERTER 8
279;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG660 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;660;INATIVOS CONVERTER 8
280;FOLHA ALUM BOB 8011 H18 SGALSOPLN ESP0,025 LARG420 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;25;420;INATIVOS CONVERTER25
281;FOLHA ALUM BOB 8011 O SGALSOPLN ESP0,008 LARG620 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;620;INATIVOS CONVERTER 8
282;FOLHA ALUM BOB 8011 O SGALSOPLN ESP0,008 LARG580 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;580;INATIVOS CONVERTER 8
283;FOLHA ALUM BOB 8011 O SGALSOPLN ESP0,008 LARG600 DI76,2 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;600;INATIVOS CONVERTER 8
284;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG835 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 30;30;835;FOODCONTAINER 30
285;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG750 DI152 DEMÁX450 ACABBRILHANTE/FOSCO LACVT;8;750;CONVERTER 8
286;FOLHA ALUM BOB 8011 O SGALSOPLN ESP0,009 LARG120 DI76,2 DEMÁX450 ACABBRILHANTE/FOSCO LACVT;9;120;CONVERTER 9
287;ALUMINIO-FOLHA BOB 8079 O ESP0,008 LARG610 DI152,4 DEMÁX550 BRI/FOS CONVERTER 8;8;610;CONVERTER 8
288;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG280 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 28;28;280;FOODCONTAINER 28
289;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG267 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 28;28;267;FOODCONTAINER 28
290;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG522 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 28;28;522;FOODCONTAINER 28
291;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,030 LARG522 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 30;30;522;FOODCONTAINER 30
292;FOLHA ALUM BOB 8011 O SGALSOPLN ESP0,018 LARG450 DI76,2 DEMÁX450 ACABBRILHANTE/FOSCO LAHHF;18;450;HHF 18
293;ALUMINIO-FOLHA BOB-3003H24 ESP0,045 LARG815 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;45;815;FOODCONTAINER 40-55
294;FOLHA ALUM BOB 8011 H18 SGALSOPLN ESP0,025 LARG520 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;25;520;INATIVOS CONVERTER25
295;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,032 LARG889 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 32;32;889;FOODCONTAINER 32
296;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,032 LARG835 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 32;32;835;FOODCONTAINER 32
297;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,032 LARG280 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 32;32;280;FOODCONTAINER 32
298;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,032 LARG260 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 32;32;260;FOODCONTAINER 32
299;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,032 LARG240 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 32;32;240;FOODCONTAINER 32
300;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,032 LARG315 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 32;32;315;FOODCONTAINER 32
301;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,032 LARG300 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 32;32;300;FOODCONTAINER 32
302;FOLHA ALUM BOB 8011 O SGALSOPLN ESP0,048 LARG450 DI152 DEMÁX540 BRILHANTE/FOSCO LAFCN;48;450;FOODCONTAINER 40-55
303;FOLHA ALUM BOB 8079 O SGALSOPLN ESP0,008 LARG1025 DI152 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;8;1025;INATIVOS CONVERTER 8
304;FOLHA ALUM BOB 8011 O SGALSOPLN ESP0,015 LARG300 DI152,4 DEMÁX540 ACABBRILHANTE/FOSCO LACVT;15;300;CONVERTER 15
305;ALUMINIO-FOLHA BOB 8011 H18 ESP0,020 LARG943 DI152 DEMÁX700 BRI/FOS LIDROUNDPLATES 20;20;943;LIDROUNDPLATES 20
306;ALUMINIO-FOLHA  BOB- 3003 H24 ESP0,028 LARG485 DI76,2 DEMÁX450 BRI/BRI FOODCONTAINER 28;28;485;FOODCONTAINER 28
