Cód. Item;Descrição;Espessura(mm);Largura(mm);Grupo de Item
31;ALUMINIO-FOLHA BOB-3003H24 ESP0,040 LARG322 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;40;322;FOODCONTAINER 40-55
32;ALUMINIO-FOLHA BOB-3003H24 ESP0,045 LARG280 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;45;280;FOODCONTAINER 40-55
33;ALUMINIO-FOLHA BOB-3003H24 ESP0,045 LARG315 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;45;315;FOODCONTAINER 40-55
34;ALUMINIO-FOLHA BOB-3003H24 ESP0,048 LARG205 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;48;205;FOODCONTAINER 40-55
35;ALUMINIO-FOLHA BOB-3003H24 ESP0,048 LARG335 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;48;335;FOODCONTAINER 40-55
36;ALUMINIO-FOLHA BOB-3003H24 ESP0,048 LARG364 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;48;364;FOODCONTAINER 40-55
37;ALUMINIO-FOLHA BOB-3003H24 ESP0,050 LARG220 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;50;220;FOODCONTAINER 40-55
38;ALUMINIO-FOLHA BOB-3003H24 ESP0,050 LARG265 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;50;265;FOODCONTAINER 40-55
39;ALUMINIO-FOLHA BOB-3003H24 ESP0,050 LARG335 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;50;335;FOODCONTAINER 40-55
40;ALUMINIO-FOLHA BOB-3003H24 ESP0,052 LARG265 DI152 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;52;265;FOODCONTAINER 40-55
41;FOLHA ALUM BOB 3003 O SGALSOTXT ESP0,028 LARG768 DI152 DEMÁX700 ACABBRILHANTE/BRILHANT LAFCN;28;768;FOODCONTAINER 28
42;FOLHA ALUM BOB 3003 O SGALSOTXT ESP0,030 LARG442 DI152 DEMÁX700 ACABBRILHANTE/BRILHANT LAFCN;30;442;FOODCONTAINER 30
43;FOLHA ALUM BOB 3003 O SGALSOTXT ESP0,030 LARG889 DI152 DEMÁX700 ACABBRILHANTE/BRILHANT LAFCN;30;889;FOODCONTAINER 30
44;ALUMINIO-FOLHA BOB-8006H24 ESP0,048 LARG205 DI152,4 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;48;205;FOODCONTAINER 40-55
45;ALUMINIO-FOLHA BOB-8006H24 ESP0,048 LARG335 DI152,4 DEMÁX700 BRI/BRI FOODCONTAINER 40-55;48;335;FOODCONTAINER 40-55
46;FOLHA ALUM BOB 8006 H24 SGALSOTXT ESP0,048 LARG364 DI152,4 DEMÁX700 BRILHANTE/BRILHANTE LAFCN;48;364;FOODCONTAINER 40-55
47;FOLHA ALUM BOB 8006 H24 SGALSOTXT ESP0,050 LARG220 DI152,4 DEMÁX700 BRILHANTE/BRILHANTE LAFCN;50;220;FOODCONTAINER 40-55
48;FOLHA ALUM BOB 8006 H24 SGALSOTXT ESP0,050 LARG335 DI152,4 DEMÁX700 BRILHANTE/BRILHANTE LAFCN;50;335;FOODCONTAINER 40-55
49;FOLHA ALUM BOB 8006 H24 SGALSOTXT ESP0,050 LARG364 DI152 DEMÁX700 ACABBRILHANTE/BRILHANT LAFCN;50;364;FOODCONTAINER 40-55
50;FOLHA ALUM BOB 8006 H24 SGALSOTXT ESP0,052 LARG265 DI152 DEMÁX700 ACABBRILHANTE/BRILHANT LAFCN;52;265;FOODCONTAINER 40-55
51;FOLHA ALUM BOB 8006 O SGALSOPLN ESP0,009 LARG300 DI76,2 DEMÁX450 ACABBRILHANTE/FOSCO LAHHF;9;300;HHF 9
52;FOLHA ALUM BOB 8006 O SGALSOPLN ESP0,009 LARG450 DI76,2 DEMÁX450 ACABBRILHANTE/FOSCO LAHHF;9;450;HHF 9
