Cód. Item;Estoque
406;272,2
406;271,6
406;271,2
408;274,9
408;523
408;522
408;507
408;509
408;510
408;273,3
408;273,3
408;272,9
408;279,9
408;279,3
408;260,9
408;260,7
408;261,9
408;262,1
408;280,3
408;274,3
408;251,3
408;251,5
408;257,7
408;257,3
408;279,1
408;273,5
408;289,5
408;288,7
412;247,4
412;262,6
412;264,4
412;536,9
412;514
412;592
412;596
412;592
414;308,7
414;311,9
414;312,9
414;313,5
414;304,5
414;314,5
414;309,5
428;309,6
432;318,5
432;309,1
432;336,3
432;303,5
432;304,9
434;347
434;343,6
442;340,1
442;351,1
442;396,1
442;400,5
442;370,7
442;366,1
442;398,5
442;397,1
446;293
446;378,5
446;377,9
446;376,3
446;341,3
446;343,3
446;341,7
446;346,7
446;349,7
446;348,5
448;430,8
448;429,4
448;432,4
448;421,4
448;402,4
448;420,4
448;411,6
448;405,4
448;408
448;406,8
448;400,8
448;401,2
448;430,6
448;423,6
448;433,6
448;441,8
450;401,3
450;404,1
450;387,9
450;384,7
450;406,3
450;402,3
450;373,9
450;391,9
450;390,9
452;427
452;426,2
452;426,2
452;427,4
468;558
468;550
468;562,4
468;561,2
468;555,4
468;546,2
468;489
468;491,4
468;553
468;570
468;575
482;248
482;247
482;247
482;247
482;247
482;247
482;225
482;248
482;225
482;246
482;224
482;247
482;223
482;246
482;240
482;225
482;243
482;245
482;245
482;245
505;515
505;513
505;499
506;524
506;510
506;526
506;526
506;526
518;385
518;387,6
520;903
531;652
531;641,8
531;656,8
531;657,2
532;264,6
532;235,8
532;251,4
532;253,2
532;252,6
532;248,8
532;243,4
532;244,4
546;813
546;824
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
554;7
